matchId,teamId,home,score,Posession
500410,16,1,0,72
500410,137,0,0,28
500411,6,1,0,63
500411,869,0,1,37
500412,19,1,3,72
500412,132,0,2,28
500413,12,1,1,55
500413,8,0,1,45
500414,2,1,1,45
500414,17,0,1,55
500415,7,1,1,53
500415,122,0,0,47
500416,13,1,2,62
500416,1485,0,0,38
500417,135,1,1,35
500417,20,0,0,65
500418,129,1,0,55
500418,10,0,1,45
500419,5,1,0,62
500419,100,0,0,38
500420,3,1,1,40
500420,4,0,0,60
500421,815,1,1,55
500421,18,0,2,45
500422,100,1,2,51
500422,6,0,0,49
500423,122,1,0,52
500423,2,0,0,48
500424,18,1,1,47
500424,135,0,0,53
500425,1485,1,1,39
500425,815,0,0,61
500426,20,1,2,50
500426,16,0,2,50
500427,137,1,2,37
500427,129,0,1,63
500428,8,1,0,47
500428,19,0,1,53
500429,4,1,1,40
500429,7,0,0,60
500430,17,1,3,59
500430,12,0,0,41
500431,869,1,0,31
500431,5,0,2,69
500432,132,1,0,50
500432,3,0,2,50
500433,10,1,2,50
500433,13,0,3,50
500436,2,1,3,50
500436,4,0,2,50
500443,135,1,1,70
500443,1485,0,1,30
500441,13,1,2,53
500441,137,0,0,47
500435,19,1,2,66
500435,18,0,2,34
500437,16,1,1,41
500437,17,0,6,59
500444,869,1,2,39
500444,100,0,1,61
500440,129,1,0,55
500440,3,0,3,45
500439,12,1,3,37
500439,20,0,1,63
500434,5,1,2,48
500434,122,0,0,52
500445,815,1,1,65
500445,132,0,0,35
500442,6,1,2,53
500442,8,0,1,47
500438,7,1,3,37
500438,10,0,0,63
500452,3,1,0,45
500452,19,0,2,55
500450,8,1,0,53
500450,129,0,1,47
500448,20,1,3,66
500448,13,0,1,34
500455,18,1,1,74
500455,869,0,1,26
500449,10,1,2,60
500449,6,0,0,40
500457,132,1,2,29
500457,7,0,1,71
500456,137,1,1,59
500456,12,0,2,41
500454,1485,1,0,35
500454,16,0,0,65
500446,17,1,0,52
500446,135,0,1,48
500451,4,1,0,67
500451,5,0,1,33
500453,122,1,3,40
500453,815,0,0,60
500447,100,1,0,46
500447,2,0,0,54
500463,12,1,1,56
500463,1485,0,0,44
500462,7,1,0,58
500462,20,0,1,42
500464,129,1,0,53
500464,4,0,0,47
500460,2,1,1,51
500460,8,0,0,49
500459,19,1,2,52
500459,137,0,1,48
500468,869,1,1,32
500468,10,0,0,68
500461,16,1,3,79
500461,132,0,1,21
500466,6,1,1,40
500466,18,0,1,60
500469,815,1,1,32
500469,3,0,0,68
500465,13,1,4,47
500465,100,0,1,53
500467,135,1,2,47
500467,122,0,1,53
500458,17,1,0,66
500458,5,0,0,34
500476,3,1,4,48
500476,137,0,1,52
500478,1485,1,1,32
500478,129,0,2,68
500481,132,1,0,42
500481,2,0,1,58
500480,6,1,2,31
500480,19,0,1,69
500471,100,1,0,32
500471,17,0,4,68
500474,8,1,1,39
500474,16,0,2,61
500475,4,1,0,42
500475,135,0,1,58
500479,18,1,1,49
500479,13,0,1,51
500473,10,1,2,48
500473,12,0,2,52
500470,5,1,1,46
500470,7,0,0,54
500477,122,1,1,57
500477,869,0,1,43
500472,20,1,1,58
500472,815,0,0,42
500490,137,1,0,40
500490,18,0,0,60
500484,2,1,3,57
500484,1485,0,1,43
500486,7,1,1,55
500486,869,0,0,45
500488,129,1,0,78
500488,100,0,1,22
500483,19,1,0,60
500483,5,0,2,40
500492,815,1,0,41
500492,10,0,1,59
500489,13,1,2,47
500489,122,0,0,53
500493,132,1,0,50
500493,4,0,2,50
500487,12,1,3,55
500487,6,0,2,45
500485,16,1,2,51
500485,3,0,1,49
500482,17,1,1,61
500482,20,0,2,39
500491,135,1,2,55
500491,8,0,1,45
500501,122,1,1,50
500501,137,0,2,50
500505,869,1,1,36
500505,12,0,1,64
500500,3,1,3,48
500500,7,0,0,52
500498,8,1,0,50
500498,17,0,2,50
500494,5,1,1,49
500494,13,0,1,51
500499,4,1,0,54
500499,19,0,1,46
500495,100,1,0,60
500495,815,0,0,40
500496,20,1,0,61
500496,129,0,1,39
500503,18,1,1,48
500503,16,0,1,52
500497,10,1,3,52
500497,135,0,2,48
500502,1485,1,1,54
500502,132,0,0,46
500504,6,1,1,37
500504,2,0,0,63
500514,13,1,0,55
500514,4,0,0,45
500516,815,1,2,47
500516,135,0,1,53
500509,2,1,2,43
500509,3,0,1,57
500517,132,1,2,53
500517,8,0,4,47
500507,19,1,1,65
500507,1485,0,4,35
500511,7,1,0,63
500511,100,0,0,37
500510,16,1,2,63
500510,122,0,0,37
500508,20,1,2,58
500508,10,0,0,42
500512,12,1,1,50
500512,18,0,1,50
500515,137,1,1,48
500515,6,0,0,52
500506,17,1,2,78
500506,869,0,0,22
500513,129,1,0,56
500513,5,0,1,44
500523,3,1,3,47
500523,17,0,3,53
500518,5,1,0,48
500518,16,0,1,52
500522,4,1,1,55
500522,815,0,2,45
500520,10,1,0,66
500520,2,0,1,34
500529,869,1,1,46
500529,13,0,3,54
500528,135,1,2,61
500528,12,0,4,39
500524,122,1,1,24
500524,129,0,0,76
500521,8,1,0,45
500521,137,0,1,55
500519,100,1,2,30
500519,19,0,0,70
500526,18,1,0,44
500526,20,0,1,56
500525,1485,1,0,36
500525,7,0,1,64
500527,6,1,2,45
500527,132,0,1,55
500541,132,1,3,54
500541,122,0,2,46
500535,7,1,3,53
500535,18,0,0,47
500538,13,1,0,59
500538,8,0,4,41
500540,815,1,2,58
500540,869,0,0,42
500530,17,1,2,68
500530,6,0,1,32
500533,2,1,1,47
500533,135,0,0,53
500531,19,1,1,58
500531,129,0,3,42
500539,137,1,2,69
500539,10,0,2,31
500534,16,1,0,71
500534,4,0,0,29
500537,3,1,2,70
500537,1485,0,2,30
500532,20,1,0,75
500532,100,0,0,25
500536,12,1,2,42
500536,5,0,1,58
500551,6,1,0,53
500551,815,0,2,47
500545,8,1,0,55
500545,7,0,1,45
500550,18,1,5,46
500550,132,0,2,54
500548,122,1,1,35
500548,17,0,2,65
500542,5,1,5,51
500542,3,0,1,49
500546,4,1,3,49
500546,137,0,3,51
500552,135,1,1,49
500552,13,0,0,51
500553,869,1,1,30
500553,16,0,1,70
500544,10,1,2,45
500544,19,0,1,55
500547,129,1,0,48
500547,2,0,0,52
500543,100,1,0,34
500543,12,0,1,66
500549,1485,1,0,34
500549,20,0,0,66
500558,7,1,1,39
500558,135,0,0,61
500564,137,1,0,66
500564,815,0,1,34
500559,12,1,0,59
500559,4,0,1,41
500555,19,1,3,41
500555,2,0,0,59
500565,132,1,1,33
500565,10,0,2,67
500562,1485,1,3,58
500562,869,0,2,42
500554,17,1,0,67
500554,18,0,1,33
500561,122,1,0,52
500561,8,0,3,48
500563,13,1,2,34
500563,129,0,0,66
500557,16,1,1,73
500557,100,0,0,27
500556,20,1,0,58
500556,5,0,0,42
500560,3,1,2,58
500560,6,0,1,42
500567,100,1,1,55
500567,1485,0,1,45
500572,129,1,2,46
500572,12,0,0,54
500577,815,1,2,48
500577,19,0,2,52
500566,5,1,2,56
500566,137,0,0,44
500570,8,1,0,61
500570,3,0,1,39
500571,4,1,1,28
500571,20,0,0,72
500575,135,1,3,39
500575,16,0,3,61
500574,6,1,3,34
500574,7,0,2,66
500576,869,1,0,56
500576,132,0,2,44
500568,2,1,1,46
500568,13,0,0,54
500573,18,1,5,50
500573,122,0,1,50
500569,10,1,1,46
500569,17,0,2,54
500583,4,1,1,61
500583,8,0,1,39
500581,16,1,1,48
500581,129,0,1,52
500582,7,1,1,61
500582,815,0,1,39
500578,5,1,1,53
500578,2,0,1,47
500587,13,1,2,36
500587,17,0,3,64
500579,19,1,2,61
500579,869,0,0,39
500580,20,1,3,62
500580,6,0,1,38
500589,132,1,0,29
500589,135,0,5,71
500585,122,1,0,34
500585,10,0,0,66
500586,1485,1,1,43
500586,18,0,1,57
500584,3,1,1,57
500584,12,0,1,43
500588,137,1,1,52
500588,100,0,0,48
500598,6,1,0,50
500598,122,0,2,50
500593,10,1,0,62
500593,4,0,1,38
500591,100,1,0,52
500591,3,0,2,48
500599,135,1,0,61
500599,137,0,0,39
500601,815,1,2,62
500601,13,0,2,38
500595,12,1,1,57
500595,16,0,0,43
500594,8,1,2,57
500594,1485,0,1,43
500596,129,1,2,66
500596,132,0,0,34
500597,18,1,1,39
500597,5,0,0,61
500590,17,1,0,71
500590,19,0,1,29
500600,869,1,0,45
500600,20,0,1,55
500592,2,1,1,41
500592,7,0,1,59
500609,122,1,2,49
500609,12,0,0,51
500605,8,1,0,38
500605,20,0,0,62
500611,18,1,2,58
500611,100,0,1,42
500612,137,1,1,51
500612,2,0,0,49
500608,3,1,1,54
500608,13,0,1,46
500603,19,1,1,54
500603,7,0,1,46
500610,1485,1,1,59
500610,6,0,0,41
500613,132,1,0,36
500613,17,0,1,64
500606,4,1,3,46
500606,869,0,3,54
500607,129,1,4,53
500607,135,0,1,47
500604,16,1,1,65
500604,815,0,1,35
500602,5,1,0,52
500602,10,0,0,48
500616,20,1,1,55
500616,122,0,1,45
500615,100,1,1,54
500615,8,0,1,46
500618,10,1,5,51
500618,18,0,0,49
500619,7,1,3,58
500619,137,0,1,42
500625,815,1,1,28
500625,129,0,1,72
500617,2,1,1,30
500617,16,0,1,70
500614,17,1,2,51
500614,1485,0,0,49
500620,12,1,2,64
500620,132,0,0,36
500622,6,1,0,57
500622,4,0,1,43
500623,135,1,1,53
500623,5,0,2,47
500624,869,1,2,50
500624,3,0,2,50
500621,13,1,1,43
500621,19,0,0,57
500634,122,1,0,62
500634,1485,0,2,38
500628,2,1,0,52
500628,12,0,0,48
500630,8,1,1,45
500630,869,0,1,55
500632,129,1,0,66
500632,6,0,0,34
500631,4,1,1,35
500631,18,0,1,65
500635,13,1,0,54
500635,7,0,0,46
500626,5,1,2,54
500626,815,0,0,46
500627,19,1,1,32
500627,20,0,0,68
500629,16,1,1,42
500629,10,0,0,58
500636,137,1,1,40
500636,17,0,2,60
500633,3,1,1,61
500633,135,0,1,39
500637,132,1,2,37
500637,100,0,1,63
500648,869,1,1,55
500648,137,0,0,45
500646,6,1,1,32
500646,16,0,1,68
500639,100,1,0,57
500639,122,0,2,43
500649,815,1,0,44
500649,2,0,2,56
500645,18,1,1,47
500645,8,0,0,53
500647,135,1,1,66
500647,19,0,0,34
500638,17,1,1,60
500638,4,0,0,40
500643,12,1,1,50
500643,13,0,1,50
500644,1485,1,0,44
500644,5,0,4,56
500642,7,1,1,54
500642,129,0,2,46
500641,10,1,1,58
500641,3,0,1,42
500640,20,1,0,77
500640,132,0,1,23
500655,4,1,0,50
500655,122,0,1,50
500652,2,1,1,64
500652,869,0,1,36
500651,19,1,0,41
500651,16,0,1,59
500653,10,1,0,58
500653,8,0,1,42
500658,13,1,4,68
500658,6,0,0,32
500661,815,1,2,38
500661,12,0,2,62
500657,3,1,0,51
500657,20,0,4,49
500650,5,1,3,65
500650,132,0,0,35
500654,7,1,0,49
500654,17,0,2,51
500656,129,1,3,52
500656,18,0,0,48
500659,137,1,0,58
500659,1485,0,0,42
500660,135,1,4,61
500660,100,0,2,39
500665,16,1,1,55
500665,13,0,1,45
500671,6,1,0,41
500671,5,0,4,59
500666,8,1,1,44
500666,815,0,0,56
500662,17,1,1,54
500662,129,0,1,46
500669,1485,1,1,66
500669,4,0,1,34
500673,132,1,1,40
500673,137,0,3,60
500668,122,1,1,58
500668,19,0,3,42
500667,12,1,1,54
500667,7,0,1,46
500670,18,1,3,53
500670,3,0,1,47
500664,20,1,2,56
500664,2,0,0,44
500672,869,1,3,44
500672,135,0,2,56
500663,100,1,1,28
500663,10,0,0,72
500681,3,1,4,48
500681,122,0,0,52
500676,2,1,2,57
500676,18,0,1,43
500679,4,1,0,65
500679,100,0,3,35
500680,129,1,2,63
500680,869,0,0,37
500674,5,1,1,62
500674,8,0,0,38
500685,815,1,1,32
500685,17,0,1,68
500675,19,1,4,45
500675,12,0,3,55
500677,10,1,3,58
500677,1485,0,0,42
500682,13,1,0,74
500682,132,0,2,26
500684,135,1,2,64
500684,6,0,0,36
500683,137,1,0,52
500683,20,0,3,48
500678,7,1,1,43
500678,16,0,2,57
